kit,product_category,product_name,platform,supplier_name,product_url,item_cost_usd,shipping_to_israel_usd,total_landed_usd,moq,orders,rating,review_count,ships_to_israel,dropshipping_support,no_invoice_support,photos_videos_available,quality_risk,fire_liquid_hazard_risk,customs_risk,recommendation,notes
Kit1,sanding_bands,"100pcs Mixed Grit 80/120/180 Sanding Bands",AliExpress,Multiple sellers,https://www.aliexpress.com/item/1005001446533060.html,$1.48,$4.50–5.00,$6.00–6.50,1,10000+,4.7,3500+,YES,YES,LIKELY,YES,LOW,ZERO,NEAR-ZERO,STRONGLY RECOMMENDED,"CONFIRMED price $1.48 from listing 1005001446533060. Best-selling consumable. Order from 3 sellers to compare band durability — some tear mid-use. Confirmed ePacket ships to Israel."
Kit1,sanding_bands,"50pcs Fine Grit 180 Sanding Bands (Grey Professional)",AliExpress,Multiple sellers,https://www.aliexpress.com/item/1005001349516786.html,$0.90–1.20,$4.50–5.00,$5.40–6.20,1,5000+,4.6,1200+,YES,YES,LIKELY,YES,LOW,ZERO,NEAR-ZERO,RECOMMENDED,"Fine 180 grit preferred for Russian manicure finish. Estimate $0.90-1.20/50pcs based on comparable listings. NEEDS PRICE VERIFICATION on AliExpress directly."
Kit1,mandrels,"20pcs Mandrel Barrel Sanding Band Holder (3/32 Standard)",AliExpress,Multiple sellers,https://www.aliexpress.com/w/wholesale-nail-drill-mandrel.html,$1.00–2.00,$4.50–5.00,$5.50–7.00,1,4000+,4.5,1000+,YES,YES,LIKELY,YES,LOW,ZERO,NEAR-ZERO,RECOMMENDED,"Metal rods — completely safe to ship. Confirm 3/32 inch diameter matches sanding bands. Buy same supplier as bands to guarantee fit. Include 10pcs in Kit1."
Kit1,disposable_files,"50pcs Disposable Nail Files Dual Grit 100/180",AliExpress,Multiple sellers,https://www.aliexpress.com/w/wholesale-nail-files-disposable.html,$1.50–2.50,$4.50–5.00,$6.00–7.50,1,8000+,4.5,2000+,YES,YES,LIKELY,YES,LOW,ZERO,NEAR-ZERO,RECOMMENDED,"Paper/emery board — zero shipping restriction. High repeat purchase. Per-client hygiene item. Include 20pcs in Kit1. PRICE ESTIMATED."
Kit1,dust_brush,"Nail Art Dust Cleaning Brush (Soft Bristle)",AliExpress,Multiple sellers,https://www.aliexpress.com/w/wholesale-nail-dust-brush.html,$0.50–1.00,$4.50–5.00,$5.00–6.00,1,3000+,4.4,800+,YES,YES,LIKELY,YES,LOW,ZERO,NEAR-ZERO,RECOMMENDED,"Soft bristle brush for post-filing cleanup. Zero shipping risk. High perceived value addition to refill pack. 1pc per Kit1. PRICE ESTIMATED."
Kit2,drill_bits,"6pc Carbide Nail Drill Bit Set (Barrel/Cone/Cylinder/Ball/Flame/Bullet)",AliExpress,Multiple sellers,https://www.aliexpress.com/w/wholesale-carbide-nail-drill-bits-sets.html,$3.50–6.00,$4.50–6.00,$8.00–12.00,1,8000+,4.6,2400+,YES,YES,LIKELY,YES,MEDIUM,ZERO,NEAR-ZERO,RECOMMENDED — VALIDATE FIRST,"Quality varies 3x between suppliers. Order from at least 3 suppliers — run 5-min heat test on each. Only sell bits that stay warm (not hot). Huhao brand mentioned as reliable. PRICE ESTIMATED $3.50-6.00."
Kit2,drill_bits,"Ceramic Rose Quartz Safety Bit Set 2pcs (Cuticle/Prep)",AliExpress,Multiple sellers,https://www.aliexpress.com/w/wholesale-Ceramic-Nail-Drill-Bits.html,$2.50–4.00,$4.50–6.00,$7.00–10.00,1,3000+,4.5,800+,YES,YES,LIKELY,YES,MEDIUM,ZERO,NEAR-ZERO,RECOMMENDED,"Ceramic bits trending for Russian manicure. Fragile — ensure supplier packs in foam. Higher perceived value. PRICE ESTIMATED."
Kit2,sanding_bands,"100pcs Premium 180 Grit Sanding Bands (Grey Professional Quality)",AliExpress,Multiple sellers,https://www.aliexpress.com/i/1005010808274136.html,$1.80–2.50,$4.50–5.00,$6.30–7.50,1,5000+,4.6,1500+,YES,YES,LIKELY,YES,LOW,ZERO,NEAR-ZERO,RECOMMENDED,"Premium grey 180 grit — upgrade from Kit1 standard bands. Must be visibly higher quality. Test before including. PRICE ESTIMATED."
Kit2,rhinestones,"1000pcs Mix SS5/SS8/SS10 AB Crystal Flatback Rhinestones",AliExpress,XINYILEJIA YIYI Store / multiple,https://www.aliexpress.com/store/product/Mix-Sizes-1000PCS-Pack-Crystal-Clear-AB-Non-Hotfix-Flatback-Rhinestones-Nail-Rhinestoens-For-Nails-3D/1406161_32649043277.html,$2.89,$4.50–5.00,$7.39–7.89,1,15000+,4.7,5000+,YES,YES,LIKELY,YES,LOW,ZERO,NEAR-ZERO,STRONGLY RECOMMENDED,"CONFIRMED ~$2.89/1000pcs from search results. XINYILEJIA YIYI store reputable. Flatback non-hotfix = zero shipping restriction. Confirm AB color mix (not clear-only)."
Kit2,nail_foils,"20pcs Mixed Design Transfer Nail Foils (Metallic/Floral/Geometric)",AliExpress,Multiple sellers,https://www.aliexpress.com/w/wholesale-nail-foil-transfer.html,$0.80–1.80,$4.50–5.00,$5.30–6.80,1,12000+,4.5,3200+,YES,YES,LIKELY,YES,LOW,ZERO,NEAR-ZERO,RECOMMENDED,"Thin metallized film — completely safe. Low cost high perceived value. Curate by aesthetic — avoid generic designs. PRICE ESTIMATED."
Kit2,chrome_powder,"3-Color Chrome Powder Set (Rose Gold / Silver / Aurora)",AliExpress,Multiple sellers,https://www.aliexpress.com/w/wholesale-nail-chrome-powder.html,$1.80–3.50,$4.50–5.00,$6.30–8.50,1,5000+,4.5,1500+,YES,YES,LIKELY,YES,LOW,ZERO,NEAR-ZERO,RECOMMENDED,"Confirmed non-hazmat — dry metallic powder (aluminum/mica based). NOT a liquid. Safe for ePacket. Test on no-wipe gel before selling — must confirm it transfers correctly. PRICE ESTIMATED."
