brand,url,country,products,prices_ils,bundles_kits,positioning,strengths,weaknesses,what_to_copy,what_to_do_better,gap_to_exploit
ColoresIsrael,https://coloresisrael.co.il,Israel,Full nail supply + beginner kit,Beginner kit 1979 (CONFIRMED),Yes - one premium kit,Professional supplier with beginner entry,Established trust; full catalog; Hebrew,Kit price is 4x what hardware costs landed; no content marketing; no trend angle,The kit CONCEPT validated at high price,Same concept at 449 with honest curation story,Massive price umbrella - our Kit B undercuts by 75% with comparable core hardware
Picaso,https://www.picaso.co.il,Israel,Branded gel polish + beginner gel kits,Premium branded pricing,Yes - gel-centric kits,Israeli gel brand with starter kits,Brand recognition; includes liquids (they ship domestically); education exists,Gel-locked ecosystem; premium pricing; hardware is secondary,Their education/tutorial approach,Hardware-first kit + tell customers to buy Picaso gel locally - we COMPLEMENT not compete,They cannot be undercut on gel - so don't compete on gel at all
naila.co.il,https://naila.co.il,Israel,Full professional range,30-150+ per item,No curated kits,Professional supplier,Range; Hebrew UX,No kits; no beginner positioning; no sub-100 packs,—,Curated kits + beginner education,No kit concept at all (verified twice in prior research)
inails.co.il,https://www.inails.co.il,Israel,Professional + seasonal collections + price-list content,Premium,No,Trendy professional,Good design; publishes 2026 price lists (SEO-smart),Salon-focused; no home-tech kits,Their content/SEO play (price-list articles),Hebrew TREND education (cat-eye guides) which they lack,Closest conceptual threat - monitor monthly
nail-plus.co.il,https://nail-plus.co.il,Israel,Studio supplier full range,Mid-pro,No,The studio supplier,Studio positioning,Individual products only; no WhatsApp; no bundles,Studio supplier framing,Home-studio framing at lower price,MEDIUM threat if they launch kits - monitor monthly per hastudio plan
thenailshop.co.il,https://www.thenailshop.co.il,Israel,Building materials + kits category,Mid-pro,Has ערכות בניה category,Jerusalem physical + online,Physical store trust,Limited reach; kit category is thin,—,Better kit depth + national WhatsApp reach,Their kit category proves local demand for kits
SUNNAILS / nail schools,https://www.sunnails.co.il,Israel,Courses 2900+ with kit gift,Course 2900 (CONFIRMED) kit framed as gift,Kit bundled with course,Education institutions,Kit worth framing (5100 claim at nailstudio.co.il) anchors kit value high,Kit locked behind 3000+ course purchase,The kit-value anchoring language,Kit WITHOUT the course at 449 + free video guides,Their marketing literally teaches the market that kits are worth thousands
AliExpress/Temu self-import,https://www.aliexpress.com,China,Everything individually,40-90 per item self-imported,Mega-kits with 60% filler,Cheapest possible,Price,5-8 week waits; no Hebrew; no curation; filler kits; fake brand lamps,—,Curation + honesty + 15-22d shipping + WhatsApp support,THE real competitor - our pitch is the anti-AliExpress-lottery
Amazon bestseller kits (Lavinda etc.),https://www.amazon.com,US/Global,Cordless lamp+drill combos 35K RPM,80-150 USD before IL shipping,Yes,Convenience premium,Reviews volume; fast US shipping,Cordless = lithium (we avoid anyway); expensive to Israel; no Hebrew,Their bundle composition (lamp+drill+bits),Same bundle corded at half price in Hebrew,Their listings are free market research for kit composition
International Shopify nail stores,various,US/EU,Trend kits + chrome/cat-eye focused,30-80 USD,Yes - trend kits,TikTok-first stores,Content velocity; trend speed,No Israel focus; shipping cost+time to IL,Their TikTok content formats (magnet ASMR etc.),Hebrew versions of proven formats,Format arbitrage: proven US TikTok formats do not exist in Hebrew yet
