platform,language,hook,target_customer,pain_point,product_angle,video_format,notes
TikTok,Hebrew,האחיזה שלי נכשלת לפני שהגב שלי נגמר — עד שניסיתי את זה,Men 22-35 intermediate gym,Grip fails before back on deadlifts/rows,Lifting straps solve grip as limiting factor,Problem-solution 15 sec: grip slipping shown → strap applied → successful heavy lift,Very high resonance pain point. Universal in lifting community.
TikTok,Hebrew,3 אביזרים שכל מתחיל בחדר כושר חייב לדעת עליהם,Beginners men and women 18-30,Don't know what gym accessories to start with,Beginner gym kit = lifting straps + wrist wraps + carry pouch,List format with text overlay. Show each item with one sentence,Education content gets saves. Saves = algorithm signal. Strong for organic.
TikTok,Hebrew,ערכת הכבלים של הנשים — מה אני לוקחת לכל אימון,Women 20-35 training legs and back,No single kit for cable exercises. Multiple items needed. No aesthetic option locally.,Ankle straps + lifting straps + wrist wraps in one pouch,POV gym bag open → flat lay → demo each item on cable machine,Women's gym aesthetic content is top TikTok format in Israel. High shareability.
TikTok,Hebrew,אחיות לרגל מטיח ב-Decathlon vs הערכה שלנו — השוואה אמיתית,Women 20-35,Paying full price for single items at Decathlon,Kit at 229 ILS vs Decathlon per-item total of 167+ ILS with no pouch and no story,Comparison format: Decathlon product shown → our kit shown → price math on screen,Price comparison format gets high engagement. Be factual not disparaging.
TikTok,Hebrew,יום גב בלי כאב בשורש כף היד — הנה מה שעזר לי,Men and women 25-40,Wrist pain during pressing and pulling exercises,Wrist wraps included in kit = direct solution,Talking head + product demo. Authentic. No script feel.,Pain-to-solution content converts well. Wrist pain is universal gym complaint.
TikTok,English,Your grip fails before your back does — here is the fix,Men 22-35 intermediate gym,Grip is the limiting factor on deadlifts and rows not back strength,Lifting straps remove grip as limiting factor,15 sec: bar slipping shown text overlay → straps used → hit the lift,Top search query on TikTok. Use existing search demand. #deadliftgrip #gripfails
TikTok,English,Things I wish someone told me when I started lifting,Beginners all genders 18-30,Don't know what gym accessories actually matter,Beginner kit includes lifting straps wrist wraps and ankle straps,List carousel or talking head with text overlay,Classic beginner education format. Very high save rate. Algorithm loves it.
TikTok,English,Gym girl aesthetic that actually trains hard,Women 20-35 aesthetic focused,Want gym accessories that look good AND work. Tired of boring black gym gear.,Ankle straps in blush or neutral + matching pouch. Functional AND aesthetic.,Aesthetic flat lay → demo on cable machine → pouch close shot,#gymgirl #anklestraps #gymgirlesthetic consistently viral. High repost potential.
Instagram Reels,Hebrew,מה אני לוקחת לאימון רגליים — הכל בפאוץ' אחד,Women 22-38 training legs,No single place to buy all cable accessories in Israel,Kit C: ankle straps + lifting straps + wrist wraps + pouch,Aesthetic close-up reel. Flat lay open → items shown one by one → pouch zipped closed,Instagram Reels works better than TikTok for polished aesthetic content with Israeli women audience.
Instagram Reels,Hebrew,כי הגב שלך לא אשם — האחיזה שלך אשמה,Men 22-35 back day focused,Think their back is weak but actually it's grip that fails first,Lifting straps = back gets to work properly. Grip stops being the bottleneck.,Text overlay on footage of heavy row/pulldown. Before straps: grip fail text. After straps: PR text.,Educational angle positions you as authority. Builds brand trust before sale.
Instagram Reels,Hebrew,מה שהיה חסר לי לפני שנה בחדר הכושר,Beginners reflecting on their journey,Wasted time not knowing what gear to buy,Kit as the complete beginner starter pack,Story format: what I didn't have → what changed → result. Authentic voice.,Reflective story content performs well on Instagram Stories and Reels with 25-35 demo.
Instagram Reels,English,Unboxing my new gym kit — honest review after 3 months,Women and men 20-35,Looking for authentic reviews of gym accessories before buying,Kit quality and value reviewed honestly,Unboxing + each item demo + honest verdict. No sponsor tone.,UGC-style content converts better than polished ads for this category. Feels authentic.
