store_name,country,product_type,product_name,price_ils,link,shipping_time,bundle_or_single,positioning_angle,notes,weakness_to_exploit
Decathlon Israel,Israel,Lifting Straps,Weight Training Lifting Strap - Black,39-79,https://www.decathlon.co.il/iw/תמיכת-כף-יד-רצועות/332254-61997-weight-training-lifting-strap.html,1-3 days (store pickup) / 3-5 days (delivery),Single,Functional / sport-generic. Cordomano brand. No story.,Cheapest local option. Basic cotton loop strap. No Hebrew education. No content. No bundle.,No bundle concept. No story. No lifestyle content. No beginner education. No women's angle.
Decathlon Israel,Israel,CrossFit Grips,Cross Training Hole-Free Hand Grip,79-149,https://www.decathlon.co.il/en/gloves/345825-101600-cross-training-hand-grip.html,1-3 days (store pickup) / 3-5 days (delivery),Single,CrossFit/gymnastics functional. No story.,Two size options. Adjustable wrist support. Decent product. But zero content marketing.,No TikTok presence. No Hebrew content. No bundle. Generic design. Cannot be ordered without visiting site.
Decathlon Israel,Israel,Wrist Wraps,Weight Training Wrist Wrap Strap - Dark Grey,49-99,https://www.decathlon.co.il/en/unlinked/324386-17231-weight-training-wrist-wrap-strap-dark-grey.html,1-3 days (store pickup),Single,Functional. No aesthetic angle. Dark grey only.,Generic. Good enough product but zero lifestyle positioning.,Single SKU. Dark grey only - no color options for women. No bundle. No WhatsApp.
BashGal Sport,Israel,Liquid Chalk,Carbon Grip Dry Liquid Chalk 100ml,95-130,https://bashgal.co.il/products/magnesium-liquid,3-7 days,Single,Grip performance for serious athletes,HIGH RISK PRODUCT for dropshipper. They can sell it because they use sea freight/domestic courier. Not a dropship product.,Sells dangerous goods without consumer education. No content. No kit. No beginner onboarding.
BashGal Sport,Israel,Chalk Block,Magnesium Chalk Block Set 8 pieces,65-95,https://bashgal.co.il/products/קופסת-קוביות-מגנזיום-8-יח,3-7 days,Single,Sports performance. Hebrew site. Gymnastics/CrossFit focus.,Established. Hebrew. But NO beginner education and NO kit concept.,No kit. No content. No email/social follow-up. No lifestyle angle. Just product.
SalSport,Israel,Liquid Chalk,Carbon Grip Extra Dry Liquid Chalk,99-145,https://salsport.com/product/carbon-grip-extra-dry-מגנזיום-נוזלי/,3-5 days (shipping above 300 ILS free),Single,Premium grip for gymnastics/CrossFit. Hebrew. Free shipping above 300 ILS threshold.,Established brand. Free shipping threshold encourages upsell. But HIGH RISK PRODUCT to dropship.,Free shipping at 300 ILS creates natural kit upsell — but they don't bundle. We can.
SalSport,Israel,Chalk Block,Magnesium Block 8-pack,65-99,https://www.salsport.com/product/מגנזיום-חבילה-של-8-בלוקים/,3-5 days,Single,Gymnastics/CrossFit/acrobatics focus,Good price for blocks. Strong for gymnastics. Weak positioning for gym lifters.,Gymnastics focus misses gym/lifting audience. No kit concept. No content marketing.
DChamp Israel,Israel,Chalk Products,Magnesium for Training (multiple),45-120,https://dchamp.co.il/product-category/acrobatics/מגנזיום-לאימונים/,3-7 days,Single,Acrobatics/gymnastics focus,Acrobatics-focused. Wrong audience for gym dropshipper. But shows chalk demand exists.,Wrong audience angle. No gym/lifting positioning. No content for gym lifters.
IsraelBody,Israel,Magnesium/Grip,Magnesium for Hands,50-90,https://www.israelbody.org/categories/magnesium-for-hands,3-7 days,Single,Fitness supplements and accessories,Supplement-focused store. Magnesium section is small. No grip kit. No content.,No dedicated grip accessory section. No kit. Supplement focus drowns out accessories.
ExtraSport Israel,Israel,Liquid Chalk,Liquid Chalk (various),90-140,https://www.extrasport.co.il/shop/accessories/מגנזיום-נוזלי/,3-7 days,Single,Fitness accessories general,Thin catalog for grip niche. No beginner education. No women's angle. No bundle.,Thin grip section. No bundle. No lifestyle content. No WhatsApp.
Amazon.co.il (3rd party),Israel,Lifting Straps,Various brands lifting straps,79-179,https://www.amazon.co.il/-/he/s?k=lifting+straps,3-5 days Prime / 10-30 days marketplace,Single,No story. Commodity marketplace.,Multiple sellers. No Hebrew education. No bundle. No content. Price range wide.,No kit. No story. No Hebrew education. No TikTok content. No brand building.
Etsy Israel (international sellers),International,Lifting Straps,Gym Lifting Straps various,89-220,https://www.etsy.com/il-en/market/gym_lifting_straps,7-21 days international,Single,Handmade/custom angle. International sellers.,Long shipping. No Hebrew. Interesting for custom logo angle but slow.,Slow shipping. No Hebrew. International sellers. Price premium with no local trust.
Gymshark (global ship to Israel),UK/Global,Lifting Straps + Wrist Wraps,Lifting Straps & Wrist Wraps various,150-300,https://www.gymshark.com/collections/lifting-straps,7-14 days international,Single,Premium brand. Aspirational. Fashion-sport overlap.,Premium pricing. Strong brand. But no Hebrew. No local trust. Shipping cost high.,Premium price point. No Hebrew. No local support. We position as 'local + curated + under 229 ILS'
AliExpress (self-import),China,All gym accessories,Lifting straps / wrist wraps / ankle straps,40-90 (plus 5-8 weeks wait),https://www.aliexpress.com,35-60 days (self-import),Single,No story. No support. Long wait. Cheap.,Israelis self-import from AliExpress but get frustrated by wait time and lack of Hebrew support.,5-8 week wait. No Hebrew support. No guarantee. No curation. We offer curation + story + faster shipping (15-22 days)
