supplier_name,platform,product_link,main_products,moq,price_range_usd,shipping_to_israel,processing_time,rating_reviews,years_active,certifications,images_videos,private_label,custom_kit_packaging,risk_level,notes_questions
JUAWA Official Store,AliExpress,https://alitools.io/en/showcase/multifunctional-3in1-silent-35000rpm-manicure-machine-powerful-vacuum-cleaner-48w-uv-led-nail-lamp-quickly-dry-all-nail-polish-4000927323781,3-in-1 machine (35K RPM drill + 48W lamp + dust collector),1,11.19-26.49 (CONFIRMED),Economy air 15-22d est. $8-12,2-3 days,Official store - verify current rating on listing,5+ (est.),Ask for CE PDF + EU Type C plug version,Yes listing has photos/video,Ask - likely MOQ 50+,Ask about box insert,MEDIUM (electrical gray zone),Hero product for Kit B. Heat-test motor 5 min. Confirm corded NOT battery version.
Sanding band supplier (item 1005001446533060),AliExpress,https://www.aliexpress.com/item/1005001446533060.html,Sanding bands 100pc mixed grit,1,1.48/100pc (CONFIRMED prior research),Economy air $5-8,1-2 days,Verify current - was 4.5+ high volume,3+ (est.),N/A abrasives,Yes,MOQ 100+ for branded bag,Ask,LOW,Verified in hastudio research. Confirm 3/32 inch mandrel fit.
XINYILEJIA YIYI Store,AliExpress,https://www.aliexpress.com (search store name + rhinestones),Rhinestones 1000pc AB flatback mix,1,2.89/1000pc (CONFIRMED prior research),Economy air $4-6,1-2 days,4.6+ (prior check),3+ (est.),N/A,Yes,No,No,LOW,High perceived value per dollar. Kit C filler-value item.
Cat-eye magnet sellers (shortlist 3),AliExpress,https://www.aliexpress.com/w/wholesale-cat-eye-magnet-nail.html,Magnetic cat-eye tools multi-shape + double-tip pens,1,1.50-3.50 est.,Economy air $4-6,1-2 days,Filter for 4.6+ and 1000+ orders,varies,N/A,Yes,MOQ 100+ logo,Ask,LOW,KEY KIT C ITEM. Weak magnet = #1 complaint. Order 3 different sellers and test pull strength on cat-eye gel.
Chrome powder suppliers,AliExpress / okchalk.com,http://www.okchalk.com + AliExpress search chrome powder set 6 colors,Chrome aurora mirror powders + silicone applicators,1,1.80-3.50 est. per set,Economy air $4-6,1-2 days,Filter 4.6+ 500+ orders,varies,Ask for SDS (dry powder - should be non-hazmat),Yes,MOQ 100+ for jar labels,Ask,LOW,Dry powder confirmed safe in prior research. Get SDS in writing anyway.
USB 48W UV-LED lamp sellers (shortlist 2),AliExpress,https://www.aliexpress.com/w/wholesale-led-nail-lamp.html,48W corded/USB UV+LED dual wavelength lamps,1,4-9 est.,Economy air $6-10,2-3 days,Filter 4.7+ and 2000+ orders,varies,CE PDF required. USB-powered avoids plug standard issues,Yes,MOQ 50-100,Ask,LOW-MEDIUM,Kit A item. USB version preferred. NO battery/cordless versions (lithium DG).
Practice hand sellers (shortlist 2),AliExpress,https://www.aliexpress.com/w/wholesale-nail-practice-hand.html,Silicone bendable practice hands + finger refills,1,4-9 est.,Economy air $6-9,2-3 days,Filter 4.5+ 1000+ orders,varies,N/A,Yes,No,No,LOW,Kit B item. Common complaint = rigid joints. Test sample bend before committing.
Nail tips + adhesive tabs sellers,AliExpress,https://www.aliexpress.com/w/wholesale-nail-tips-500pcs.html,Tips 500pc clear/natural + adhesive tabs (NOT liquid glue),1,2-4 est.,Economy air $4-6,1-2 days,Filter 4.6+,varies,N/A,Yes,MOQ 100+,Ask,LOW,Adhesive TABS replace liquid glue (liquid glue = restricted). Confirm no liquid in package.
Art brush + dotting set sellers,AliExpress,https://www.aliexpress.com/w/wholesale-nail-art-brush-set.html,15pc brush sets + dotting tools + liners,1,1.50-3 est.,Economy air $4-5,1-2 days,Filter 4.6+ 2000+ orders,varies,N/A,Yes,MOQ 100+ handle print,Ask,LOW,Liner length matters for cat-eye cleanup lines.
Carbide bit set sellers (shortlist 3),AliExpress,https://www.aliexpress.com/w/wholesale-carbide-nail-drill-bits-set.html,6-7pc carbide bit sets + ceramic safety bits,1,3.50-6 est.,Economy air $4-6,1-2 days,Filter 4.5+ 3000+ orders,varies,N/A metal tools,Yes,MOQ 100+ case logo,Ask,LOW,Heat test per hastudio Q2 protocol: 5 min medium speed then touch shank.
CJdropshipping,CJdropshipping,https://www.cjdropshipping.com,Full catalog + KIT BUNDLING + single-tracking-number fulfillment,1,+20-30% vs AliExpress,Israel line 15-25d $3-8,1-3 days warehouse,Platform verified,10+,Handles compliance docs on request,Yes,Yes - print on demand inserts,YES - their key advantage,LOW,Best for SCALE phase: bundles 5 SKUs into one kit box with one tracking number. Ask: Israel line active? Hebrew insert printing?
Storage case sellers,AliExpress,https://www.aliexpress.com/w/wholesale-nail-tool-storage-case.html,Organizer cases / studio-look boxes,1,2-4 est.,Economy air $5-7,1-2 days,Filter 4.5+,varies,N/A,Yes,MOQ 50+ logo print,Yes,LOW,Kit B perceived-value item - the studio look for beginner techs.
