product,what_it_does,why_customers_want_it,essential_or_optional,beginner_risk,shipping_risk,sourcing_cost_usd,israel_retail_value_ils,quality_red_flags,specs_that_matter,kit_or_upsell,verdict
3-in-1 machine (drill+lamp+dust collector),Files/shapes nails + cures gel + collects dust in one unit,Replaces 3 purchases; studio look; space saving,Essential for pro segment,Medium (drill learning curve),LOW if corded - confirm no battery,11.19-26.49 CONFIRMED,250-450,Loud motor; weak vacuum; lamp dead pixels,35K RPM; 48W dual UV+LED; corded; CE PDF; EU Type C plug,Kit B anchor,INCLUDE Kit B
48W USB UV-LED lamp,Cures gel polish,Core hardware for any gel work,Essential DIY,Low,LOW (corded/USB only),4-9 est.,120-200,Single wavelength (cures only some gels); mislabeled wattage,Dual 365+405nm; timer; USB power,Kit A anchor,INCLUDE Kit A
Portable corded nail drill 20-35K RPM,E-file for prep removal and shaping,Faster than hand filing; pro results,Essential pro,Medium-High (can damage nail if untrained),LOW corded,8-15 est.,150-300,Vibration; overheating handpiece; no reverse mode,Forward/reverse; adjustable speed; low vibration,Kit B alt to 3-in-1,BACKUP option
Carbide bit set 6-7pc,Removal/prep/cuticle work attachments,The bits that come with cheap kits are junk - real pain point,Essential pro,Medium,LOW,3.50-6 est.,80-150,Soft metal that dulls in weeks; wrong shank size,3/32 shank; medium grit marked; pass 5-min heat test,Kit B,INCLUDE Kit B
Ceramic safety bits 2pc,Gentler cuticle-area bits,Beginner fear of drill = comfort angle,Optional,Low,LOW,2.50-4 est.,50-90,Chips on drop; fake ceramic coating,True ceramic body not coating,Upsell,UPSELL
Sanding bands 100pc + mandrels,Disposable abrasive sleeves for drill,Hygiene + always needed = repeat purchase,Essential pro,Low,LOW,1.48/100 CONFIRMED,40-70,Bands tear or slip off mandrel,3/32 mandrel fit; 80/120/180 grit mix,Kit B + Kit D,INCLUDE both
Magnetic cat-eye tool set,Creates the cat-eye streak in magnetic gel,THE trend of 2026 - 135K monthly searches,Essential trend,Low,LOW,1.50-3.50 est.,40-80,Weak magnet = no streak (top complaint),Strong neodymium; multi-shape (bar+dual-tip+round),Kit C anchor,INCLUDE Kit C
Chrome/aurora powder set 6 colors,Mirror/chrome finish over cured gel,Chrome = highest search interest of any nail trend,Essential trend,Low (needs no-wipe top education),LOW dry powder,1.80-3.50 est.,60-120,Mica-cut powders that streak; tiny jars,Pure pigment; includes silicone applicators,Kit C,INCLUDE Kit C
Rhinestones 1000pc AB mix,Nail decoration,High perceived value per dollar,Optional filler-value,Low,LOW,2.89/1000 CONFIRMED,30-60,Glass vs resin mislabeled; dull foil backing,AB coating; flatback; size mix 1.5-3mm,Kit C/D,INCLUDE Kit C
Foil/sticker/decal packs,Instant nail art no skill needed,Beginner-friendly instant wins,Optional,Low,LOW,0.80-1.80 est.,25-50,Designs look dated,Trend-matched: French/butter-yellow/aura,Kit C,INCLUDE Kit C
Art brush + dotting set 15pc,Liner/detail/dotting work,Cheap kits never include decent liners,Essential art,Low,LOW,1.50-3 est.,50-90,Bristles shed; handles unbalance,Long liner 9-11mm for cat-eye cleanup,Kit C,INCLUDE Kit C
Practice hand silicone,Training surface before real clients,Cheaper than practicing on friends; course replacement angle,Essential pro,Low,LOW,4-9 est.,80-180,Rigid joints (top complaint); fingers fall off,Bendable joints; replaceable tips; desk clamp,Kit B,INCLUDE Kit B
Nail tips 500pc + adhesive tabs,Extension practice + application,Volume = value perception; tabs avoid liquid glue,Essential pro,Low,LOW (tabs are dry adhesive),2-4 est.,50-90,Brittle tips; yellowing plastic,Clear + natural mix; 10 sizes; TABS not liquid glue,Kit B/D,INCLUDE - tabs only never liquid glue
Files 100/180 + buffers 10pc,Hand shaping and surface prep,Consumable - repeat purchase driver,Essential all,Low,LOW,1.50-2.50 est.,30-60,Grit wears off in 2 uses,100/180 washable; sponge buffers,All kits + Kit D,INCLUDE all
Cuticle pusher steel + dust brush,Prep tools,Photographs premium; always needed,Essential all,Low,LOW,1-2 est.,25-50,Sharp edges on cheap stamping,Polished 304 steel,All kits,INCLUDE all
Storage case organizer,Holds everything - studio look,Beginner techs want professional appearance for clients,Optional perceived-value,Low,LOW,2-4 est.,50-90,Flimsy hinges,Compartments fit drill bits upright,Kit B,INCLUDE Kit B
Hebrew quick-start cards (local print),Education: bits guide / chrome guide / cat-eye guide,NOBODY else has Hebrew education - the moat,Essential differentiator,—,N/A printed locally,~1 (₪3-5 local print),priceless,—,Clear diagrams; QR to video,All kits,INCLUDE all - THE differentiator
Gel polish / base / top / builder / primer,—,—,—,—,UN1263 CLASS 3 FLAMMABLE,—,—,—,—,—,NEVER INCLUDE - cannot air ship
Liquid nail glue / acetone / cuticle oil,—,—,—,—,Restricted liquids,—,—,—,—,—,NEVER INCLUDE
Cordless/rechargeable lamp or drill,—,—,—,—,Class 9 lithium battery DG,—,—,—,—,—,NEVER INCLUDE - corded only
Dust collector standalone,Suction unit for filing dust,Nice-to-have for heavy users,Optional,Low,LOW corded,8-14 est.,120-220,Weak suction common,Replaceable filter,Upsell later,SKIP at launch - 3-in-1 covers it
