platform,language,hook_or_idea,format,target,pain_or_trigger,kit_link,notes
TikTok,Hebrew,כמה עולה לך הסלון בשנה? עשיתי את החשבון ונחרדתי,Receipt-printing skit + math overlay,DIY girls 19-40,Salon cost,Kit A/C,The #1 trigger. Annual math: 12 visits x 180 = 2160 vs kit 249
TikTok,Hebrew,POV: למדת לעשות קאט-איי לבד,Macro magnet-pull ASMR + reveal,Trend buyers 18-30,Cat-eye FOMO,Kit C,Magnet streak moving under ring light = inherently viral format
TikTok,Hebrew,מה באמת צריך בערכה ומה פילר — בדיקה כנה,Mega-kit teardown into two piles,Both segments,Cheap-kit burns,Kit C/B,Honesty positioning. Drives saves + comments
TikTok,Hebrew,הלקוחה הראשונה שלי שילמה 80 ש"ח — הציוד החזיר את עצמו תוך שבועיים,First-client storytime + earnings math,Beginner techs 19-35,Income trigger,Kit B,The kit-pays-for-itself frame. 4 clients = free kit
TikTok,Hebrew,5 ביטים 5 תפקידים — פעם אחת ולתמיד,Education series 5 parts one bit per video,Beginner techs,Education gap,Kit B,Nobody does this in Hebrew. Authority moat
TikTok,Hebrew,איך עושים כרום שלא יורד אחרי יומיים,Fail-then-fix demo,Both,Chrome streaking complaint,Kit C,Education = trust. Secret: no-wipe top coat
TikTok,Hebrew,קניתי ערכה ב-2000 שקל וערכה ב-450 — ההבדל?,Side-by-side comparison,Beginner techs,Price anchoring,Kit B,Uses ColoresIsrael 1979 anchor. Stay factual not disparaging
TikTok,Hebrew,היד המתאמנת הזאת שווה יותר מקורס של 3000 שקל,Practice-hand full set timelapse,Beginner techs,Course cost,Kit B,Controversial framing drives comments. Soften: שווה יותר ממה שחשבתן
Instagram Reels,Hebrew,הציפורניים האלה עלו לי 12 שקל בבית,Cost-per-mani reveal + finished set closeup,DIY girls,Salon cost,Kit A,Polished aesthetic for IG vs raw for TikTok
Instagram Reels,Hebrew,Unboxing ערכת הטרנדים — מה יש בפנים,Honest unboxing all items shown,Trend buyers,Curation trust,Kit C,Show real product not renders. Builds shipping-trust
Instagram Reels,Hebrew,עשיתי ג'ל לאמא שלי והיא חשבה שהייתי בסלון,Storytime + result closeup,DIY girls,Validation trigger,Kit A,Warm family angle fits Israeli audience
YouTube Shorts,Hebrew,מדריך הביטים המלא למתחילות,Longer education 60s,Beginner techs 25-40,Education gap,Kit B,YT Shorts reaches older demo than TikTok in Israel
Facebook Groups,Hebrew,איזה ציוד צריך כדי להתחיל לעשות ציפורניים מהבית?,Genuine answer post in נשים/ביוטי groups,Beginner techs,Getting-started confusion,Kit B,Organic community play. Answer first sell second
Meta Ads,Hebrew,ערכת הטרנדים ב-169 ש"ח — הכלים מאחורי הקאט-איי של טיקטוק,Static flat-lay + price overlay,Trend buyers 18-30,Trend FOMO,Kit C,First paid ad. Use best organic video as creative when available
Meta Ads,Hebrew,בלי קורס של 3000 שקל — הערכה שמלמדת אותך לבד,Video: kit + Hebrew cards + QR guides,Beginner techs,Course cost,Kit B,Run AFTER Kit C validates. Education-included framing
Meta Ads,Hebrew,נבדק נופה נארז — רק מה שבאמת צריך,Teardown-style ad essential vs filler,Both,Cheap-kit burns,Kit C,Anti-AliExpress-lottery positioning
WhatsApp,Hebrew,Quick reply: קיט C תיאור + תמונה + 169 + Bit/PayBox + משלוח 15-22 יום,Sales close template,Inbound leads,—,All,Respond <1hr. Close rate 40-70% per prior research
WhatsApp,Hebrew,Upsell flow day 21: איך הולך עם ערכת הטרנדים? מוכנה לשדרג לערכה המקצועית?,Retention message,Kit C buyers,Upsell,C→B,The real profit engine. 15% take rate target
WhatsApp,Hebrew,Reorder flow week 7: הגיע הזמן לחדש שיופים ופצירות?,Retention message,Kit B buyers,Reorder,Kit D,Mirrors hastudio funnel design
TikTok,Hebrew,דברים בערכה שלי שאני לא מבינה איך חייתי בלעדיהם,Listicle with quick demos,Both,Discovery,All kits,Evergreen format. Rotate items featured
