product_category,product_pack_name,platform,supplier_name,product_url,item_cost_usd,shipping_to_israel_usd,total_landed_usd,moq,orders,rating,review_count,ships_to_israel,dropshipping_support,no_invoice_support,photos_videos_available,quality_risk,customs_risk,notes,recommendation
sanding_bands,100pcs Mixed Grit 80/120/180 Sanding Bands,AliExpress,Multiple sellers,https://www.aliexpress.com/w/wholesale-nail-drill-sanding-bands.html,$1.48–2.20,$4.50–6.00,$6.00–8.20,1,10000+,4.7,3500+,YES,YES,LIKELY,YES,LOW,LOW,[confirmed price range $1.48 from listing] Standard ePacket ships to Israel. Best-selling consumable — easy to source from 10+ stores. Order samples from 3 different sellers to compare band durability.,STRONGLY RECOMMENDED — launch product
sanding_bands,100pcs Premium Grey 180 Grit Fine,AliExpress,Multiple sellers,https://www.aliexpress.com/item/1005001349516786.html,$1.80–2.50,$4.50–6.00,$6.30–8.50,1,5000+,4.6,1200+,YES,YES,LIKELY,YES,LOW,LOW,[estimated] Fine grit preferred by established nail techs for Russian manicure prep. Differentiation opportunity vs generic grit packs.,RECOMMENDED
drill_bits,6pc Carbide Nail Drill Bit Set (barrel/cone/cylinder/ball),AliExpress,Multiple sellers,https://www.aliexpress.com/w/wholesale-carbide-nail-drill-bits-sets.html,$3.50–6.00,$4.50–6.00,$8.00–12.00,1,8000+,4.6,2400+,YES,YES,LIKELY,YES,MEDIUM,LOW,[estimated $3.50-6.00] Metal drill bits — no restrictions. Quality varies significantly between suppliers. Order from 3 suppliers — test sharpness and heat generation before selling. Key differentiator: know which bits are actually tungsten carbide vs softer steel.,RECOMMENDED — validate quality first
drill_bits,Ceramic Rose Quartz Safety Bit Set (cuticle/prep),AliExpress,Multiple sellers,https://www.aliexpress.com/w/wholesale--Ceramic-Nail-Drill-Bits-.html,$2.50–5.00,$4.50–6.00,$7.00–11.00,1,3000+,4.5,800+,YES,YES,LIKELY,YES,MEDIUM,LOW,[estimated] Ceramic bits are trending for Russian manicure. Higher perceived value. Fragile — pack with bubble wrap. Good upsell from basic carbide set.,RECOMMENDED
rhinestones,1000pcs Mixed SS5/SS8/SS10 AB Crystal Flatback,AliExpress,Blinginbox / multiple,https://www.aliexpress.com/store/2031056/search,$1.80–3.50,$4.50–6.00,$6.30–9.50,1,15000+,4.7,5000+,YES,YES,LIKELY,YES,LOW,LOW,[estimated $1.80-3.50 for 1000pcs] Flatback non-hotfix rhinestones — extremely safe to ship. Huge demand. Blinginbox is a reputable AliExpress rhinestone store. Consider curating into 3 color stories per quarter.,STRONGLY RECOMMENDED — launch product
rhinestones,2000pcs Clear + White Pearl Mixed Flatback Set,AliExpress,Multiple sellers,https://www.aliexpress.com/w/wholesale-bulk-nail-rhinestones.html,$2.50–4.50,$4.50–6.00,$7.00–10.50,1,8000+,4.6,2000+,YES,YES,LIKELY,YES,LOW,LOW,[estimated] Mixed sets with pearls increasingly popular for 3D nail art. Lower risk than single-color sets — broader appeal.,RECOMMENDED
chrome_powder,3-Color Chrome Powder Set (rose gold/silver/aurora),AliExpress,Multiple sellers,https://www.aliexpress.com/w/wholesale-nail-chrome-powder.html,$2.00–4.00,$4.50–6.00,$6.50–10.00,1,5000+,4.5,1500+,YES,YES,LIKELY,YES,LOW,LOW,[estimated $2-4 for 3-pack] Dry metallic powder — non-flammable — safe for ePacket. Popular trending category. Chrome powders shipped globally without issues from China. Confirmed non-hazmat classification.,RECOMMENDED
nail_foils,20pcs Mixed Design Transfer Nail Foils,AliExpress,Multiple sellers,https://www.aliexpress.com/w/wholesale-nail-foil-transfer.html,$0.80–1.80,$4.50–6.00,$5.30–7.80,1,12000+,4.5,3200+,YES,YES,LIKELY,YES,LOW,LOW,[estimated $0.80-1.80 for 20pcs] Thin metallized film — completely safe. Low cost, high perceived value. Curating by aesthetic (florals/geometric/marble/holographic) adds differentiation vs generic AliExpress listings.,RECOMMENDED
nail_stickers,50 Sheets Mixed Nail Art Sticker Set (florals/geometric/abstract),AliExpress,Multiple sellers,https://www.aliexpress.com/w/wholesale-nail-art-stickers.html,$2.00–4.00,$4.50–6.00,$6.50–10.00,1,20000+,4.6,6000+,YES,YES,LIKELY,YES,LOW,LOW,[estimated] Paper/plastic stickers — zero shipping risk. Huge variety. The curation challenge: selecting what's aesthetically relevant to Israeli nail art trends rather than generic Chinese designs.,RECOMMENDED
stamping_plates,5-Plate Stamping Set + Stamper + Scraper,AliExpress,Multiple sellers,https://www.aliexpress.com/w/wholesale-nail-stamping-plates.html,$3.50–6.00,$4.50–6.00,$8.00–12.00,1,6000+,4.5,1800+,YES,YES,LIKELY,YES,LOW,LOW,[estimated $3.50-6 for 5 plates + tools] Thin stainless steel plates + silicone stamper. Safe to ship. Curation opportunity: pick plates by trend category (botanical/geometric/French tip/seasonal). Language barrier on AliExpress is large — Hebrew curation wins here.,RECOMMENDED
