kit_name,item_list,target_customer,supplier_cost_usd,shipping_usd,landed_cost_usd,landed_cost_ils,suggested_price_ils,gross_margin_ils,gross_margin_percent,break_even_cac_ils,risk_level,recommendation
Kit A - Beginner Gym Grip Kit,"1x cotton lifting straps pair ($2.50) + 1x wrist wraps 18in pair ($3.50) + 1x grip strengthener ($1.50) + 1x carry pouch ($1.00)",Gym beginners 3-18 months experience. Men and women. Back day / pressing day. Pain: grip slipping and wrist weakness during compound lifts.,8.50,8.00,16.50,61.88,179,117.13,65.4%,90,LOW - all safe textile/rubber products. Non-flammable. No DG classification.,YES - good beginner test. Gender neutral. Lower AOV but accessible for broad market.
Kit A Conservative Scenario,Same as Kit A - 8 units/month sold,8 orders/month,8.50,8.00,16.50,61.88,179,117.13,65.4%,90,LOW,Conservative: Net profit after 90 ILS CAC = 27 ILS per unit x 8 = 216 ILS/month. Proof of concept stage.
Kit A Base Case Scenario,Same as Kit A - 18 units/month sold,18 orders/month,8.50,8.00,16.50,61.88,179,117.13,65.4%,90,LOW,Base: Net profit after 60 ILS avg CAC = 57 ILS per unit x 18 = 1026 ILS/month. Viable.
Kit A Optimistic Scenario,Same as Kit A - 35 units/month sold,35 orders/month,8.50,8.00,16.50,61.88,179,117.13,65.4%,90,LOW,Optimistic: Net profit after 50 ILS avg CAC = 67 ILS per unit x 35 = 2345 ILS/month. Strong.
Kit B - Heavy Pulling / Deadlift Kit,"1x figure-8 straps pair ($7.00) + 1x wrist wraps 24in pair ($4.00) + 1x chalk block 60g ($1.50) + 1x carry pouch ($1.00)",Intermediate-advanced gym users. Men primarily. Back day / deadlifts / heavy rows. Pain: grip fails before back on heavy pulls. Want to break PRs.,13.50,9.00,22.50,84.38,249,164.63,66.1%,110,LOW-MEDIUM (chalk block adds minor dust risk in transit - use sealed packaging),YES - higher AOV. Good for paid ads. Chalk block adds perceived value but verify gym chalk ban.
Kit B Conservative Scenario,Same as Kit B - 6 units/month sold,6 orders/month,13.50,9.00,22.50,84.38,249,164.63,66.1%,110,LOW-MEDIUM,Conservative: Net profit after 110 ILS CAC = 54.63 ILS per unit x 6 = 327.78 ILS/month.
Kit B Base Case Scenario,Same as Kit B - 15 units/month sold,15 orders/month,13.50,9.00,22.50,84.38,249,164.63,66.1%,110,LOW-MEDIUM,Base: Net profit after 80 ILS avg CAC = 84.63 ILS per unit x 15 = 1269 ILS/month.
Kit B Optimistic Scenario,Same as Kit B - 30 units/month sold,30 orders/month,13.50,9.00,22.50,84.38,249,164.63,66.1%,110,LOW-MEDIUM,Optimistic: Net profit after 60 ILS avg CAC = 104.63 ILS per unit x 30 = 3138 ILS/month.
Kit C - Womens Aesthetic Gym Accessories Kit,"1x ankle straps neoprene D-ring pair ($4.00) + 1x lifting straps cotton pair ($2.50) + 1x wrist wraps 18in pair ($3.50) + 1x canvas carry pouch ($1.50)",Women 20-35 training legs/back. Cable machine exercises. Wants useful + aesthetic gym kit. Pain: no single source for all cable accessories. Wants to look put-together at gym.,11.50,9.00,20.50,76.88,229,152.13,66.4%,100,LOW - all safe textile/neoprene products. Non-flammable. No DG classification.,YES - RECOMMENDED FIRST TEST. Highest TikTok content potential. Clearest differentiation from Decathlon/BashGal. Underserved audience in Israel.
Kit C Conservative Scenario,Same as Kit C - 10 units/month sold,10 orders/month,11.50,9.00,20.50,76.88,229,152.13,66.4%,100,LOW,Conservative: Net profit after 100 ILS CAC = 52.13 ILS per unit x 10 = 521.3 ILS/month.
Kit C Base Case Scenario,Same as Kit C - 22 units/month sold,22 orders/month,11.50,9.00,20.50,76.88,229,152.13,66.4%,100,LOW,Base: Net profit after 70 ILS avg CAC = 82.13 ILS per unit x 22 = 1806.86 ILS/month.
Kit C Optimistic Scenario,Same as Kit C - 45 units/month sold,45 orders/month,11.50,9.00,20.50,76.88,229,152.13,66.4%,100,LOW,Optimistic: Net profit after 50 ILS avg CAC = 102.13 ILS per unit x 45 = 4595.85 ILS/month.
Liquid Chalk - DO NOT SELL,100ml liquid chalk with isopropyl alcohol base,Any gym user,3.00,Cannot ship air (dangerous goods),N/A - cannot dropship air,N/A,N/A,N/A,N/A,HIGH - H225 flammable liquid. Cannot ship by air without DG certification. AliExpress suppliers use economy air without DG declaration. High risk of seizure.,NO - AVOID COMPLETELY. Not for beginner dropshipper.
Notes - Exchange Rate,,1 USD = 3.75 ILS assumed (June 2026),,,,,,,,,,
Notes - VAT Threshold,,Israel personal import VAT exemption reverted to $75 USD as of June 2 2026. All kits have landed cost under $75 so VAT-exempt for customers when declared under $70.,,,,,,,,,,
Notes - Shipping,,Air freight to Israel confirmed operating June 2026 at $5.77/kg. For small kits (200-400g) recommend economy air lines (Yunexpress / 4PX) via CJdropshipping or AliExpress. Estimated 15-22 days.,,,,,,,,,,
