product_category,product_name,supplier_name,platform,link,moq,unit_cost_usd,shipping_to_israel_usd,estimated_landed_cost_usd,processing_time,shipping_time,branding_available,photos_videos_available,rating_or_orders,shipping_notes,safety_notes,risk_level,recommendation
Lifting Straps,Cotton Loop Lifting Straps 1 Pair,Multiple suppliers,AliExpress,https://www.aliexpress.com/w/wholesale-lifting-straps.html,1,2.50,8.00,10.50,2-3 days,15-22 days air,Yes (MOQ 50+),Yes,4.5+ / 5000+ orders typical,Use Yunexpress or ChinaPost Registered. Confirm Israel shipping before ordering.,Non-flammable. Standard textile. No DG classification.,LOW,YES - priority sample
Wrist Wraps,18 Inch Velcro Wrist Wraps 1 Pair,Multiple suppliers,AliExpress,https://www.aliexpress.com/w/wholesale-weightlifting-wrist-wraps.html,1,3.50,8.00,11.50,2-3 days,15-22 days air,Yes (MOQ 50+),Yes,4.4+ / 3000+ orders typical,Same as above. Ask for blush/black/grey color options.,Non-flammable. Textile/neoprene. No DG classification.,LOW,YES - priority sample
Ankle Straps,Neoprene D-Ring Cable Ankle Straps 1 Pair,Multiple suppliers,AliExpress,https://www.aliexpress.com/w/wholesale-ankle-strap.html,1,4.00,8.00,12.00,2-3 days,15-22 days air,Yes (MOQ 50+),Yes,4.5+ / 2000+ orders typical,Order in 2-3 colors. Confirm D-ring is metal not plastic for durability.,Non-flammable. Neoprene/textile. No DG classification.,LOW,YES - priority sample (Kit C hero item)
Figure-8 Straps,Figure 8 Deadlift Wrist Straps 1 Pair,Multiple suppliers,AliExpress,https://m.aliexpress.com/i/4000203984582.html,1,6.50,8.00,14.50,2-3 days,15-22 days air,Yes (MOQ 50+),Yes,4.4+ / 1000+ orders typical,Heavier item. Confirm stitching quality in sample. Good for Kit B.,Non-flammable. Cotton/neoprene. No DG classification.,LOW,YES - sample for Kit B
CrossFit Gym Grips,Leather Palm Protector Gym Grips 1 Pair,Multiple suppliers,AliExpress,https://www.aliexpress.com/w/wholesale-crossfit-grips.html,1,6.00,8.00,14.00,2-3 days,15-22 days air,Yes (MOQ 100+),Yes,4.4+ / 1000+ orders typical,Test leather quality. Some cheap versions tear quickly.,Non-flammable. Leather/rubber. No DG classification.,LOW,YES - sample for Kit A/B variants
Carry Pouch,Small Drawstring Canvas Gym Pouch,Multiple suppliers,AliExpress,https://www.aliexpress.com/w/wholesale-drawstring-gym-bag.html,1,1.80,8.00 (included in kit shipment),1.80 (added to kit),1-2 days,Ships with kit items,Yes (MOQ 50+),Yes,4.5+ / 3000+ orders,Order neutral colors: black / grey / sand / blush. Fits all kit items.,Non-flammable. Textile. No DG classification.,LOW,YES - include in all kits
Chalk Block,Magnesium Carbonate Chalk Block 60g,Multiple suppliers,AliExpress,http://www.okchalk.com/gymchalk13.html,1,1.50,8.00,9.50,2-3 days,15-22 days air,Yes (MOQ 100+),Yes,4.4+ / 500+ orders,Confirm sealed packaging. Chalk dust can trigger customs inspection. Declare as 'sports accessory - magnesium chalk'.,Non-flammable magnesium carbonate. NOT alcohol-based. Safe for air shipping.,LOW-MEDIUM,MAYBE - revisit for Kit B. Test packaging first.
Chalk Ball,Mesh Chalk Ball 56g,Multiple suppliers,AliExpress,http://www.okchalk.com/chalkball05.html,1,2.50,8.00,10.50,2-3 days,15-22 days air,Yes (MOQ 100+),Yes,4.3+ / 300+ orders,Confirm seam is sewn closed. Should not leak chalk dust.,Non-flammable magnesium carbonate. No DG classification. Slightly messier than blocks.,LOW-MEDIUM,MAYBE - use only with good packaging
CJdropshipping Platform,All gym accessories available,CJdropshipping,CJdropshipping,https://www.cjdropshipping.com/,1,+20-30% vs AliExpress,3.00-8.00 included,Varies,1-3 days (warehouse stock),15-25 days to Israel,Yes (with setup),Yes,Platform verified 2025-2026,Confirm Israel is an active shipping destination before committing. Best for automation.,All textile/rubber gym accessories. No DG products.,LOW,YES - best platform for automated dropshipping at scale
Grip Strengthener,Spring Coil Hand Grip Strengthener,Multiple suppliers,AliExpress,https://www.aliexpress.com/w/wholesale-hand-grip-strengthener.html,1,2.50,8.00 (included),2.50 (added to kit),1-2 days,Ships with kit,Yes (MOQ 100+),Yes,4.3+ / 2000+ orders,Lightweight. Include in Kit A as low-cost add-on.,Non-flammable. Metal spring + rubber handles. No DG.,LOW,YES - Kit A add-on
Resistance Band Set,Mini Loop Resistance Bands Set 5 levels,Multiple suppliers,AliExpress,https://www.aliexpress.com/w/wholesale-resistance-band-loop.html,1,3.00,8.00 (included),3.00 (add-on),1-2 days,Ships with kit,Yes (MOQ 50+),Yes,4.5+ / 10000+ orders,Classic product. High competition but good as Kit C filler if margin allows.,Non-flammable. Latex/fabric. No DG.,LOW,MAYBE - consider as Kit C upgrade option
LIQUID CHALK - DO NOT ORDER,Any liquid chalk with alcohol base,Any AliExpress seller,AliExpress,DO NOT ORDER,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CONFIRMED FLAMMABLE - Cannot ship air without DG certification. AliExpress sellers ship via economy air without DG declaration. HIGH RISK of seizure and customs fine.,H225 Highly Flammable Liquid - Class 3 IATA. Air shipping without DG certification is illegal.,HIGH,NO - AVOID COMPLETELY FOR BEGINNER TEST
