Category,Product,Specific Item,Supplier/Platform,Supplier URL,Unit Price USD,Price After Discount USD,MOQ,CE Certified,EU Plug (Type C),Data Source,Confidence,AliExpress Orders (est),Star Rating,Shipping to Israel,Notes
Electric Tools - Drill,Electric Nail Drill,MelodySusie 220V EU Plug Nail Drill,AliExpress,https://www.aliexpress.com/item/32825193664.html,16.49,16.49,1,Unknown,Yes (220V),Live search result,Confirmed,$16.49 URL found in search,"Unknown","ePacket ~$4-6","Budget EU plug drill - 220V confirmed. CE status unknown - must request PDF"
Electric Tools - Drill,Electric Nail Drill,EU Plug Rechargeable Nail Drill LCD Display,AliExpress,https://www.aliexpress.com/item/4000627300087.html,75.27,47.42,1,Unknown,Yes,Live search result,Confirmed,Unknown,Unknown,ePacket ~$5-7,Mid-range rechargeable. 37% discount confirmed. CE must be verified
Electric Tools - Drill,Electric Nail Drill,LUGX LG619 35000RPM Brushless CE Certified,Alibaba B2B,https://www.alibaba.com/product-introduction/LUGX-Wholesale-35000rpm-Wireless-Nail-Drill_1600426310677.html,100.00,70.00,1 (12+ for $70),Yes,Yes,Live search result,Confirmed,N/A (B2B),Unknown,FOB China,"B2B brand - $70 at 12+ units. NOT for AliExpress dropshipping. For future private label"
Electric Tools - Drill,Electric Nail Drill,Generic CE 35000RPM Rechargeable (AliExpress mid),AliExpress,https://www.aliexpress.com/w/wholesale-nail-drill-35000-rpm.html,20.00,20.00,1,Possible,Yes,Category range estimate,Estimated - verify,500-5000+,4.3-4.7,ePacket ~$4-6,"Budget CE options exist in $18-28 range. Must search + verify CE docs individually"
Electric Tools - Drill,Electric Nail Drill,MelodySusie PC120B Beginner (Amazon retail ref),Amazon US,https://www.amazon.com/dp/B0DJ2V16QZ,19.99,19.99,1,Unknown,US plug only,Search snippet,Confirmed - Amazon price,Unknown,4.5+,Does not ship to IL direct,"RETAIL reference price. AliExpress equivalent likely $8-14. Shows market floor."
Electric Tools - UV Lamp,UV/LED Nail Lamp,LKE 48W Auto Sensor LED/UV Nail Lamp,AliExpress,http://www.aliexpress.com/item/36W-3-Colors-Red-White-Black-Beautiful-Nail-Art-UV-Gel-Curing-Lamps-Nail-Polish-Lights/2046674643.html,24.18,17.17,1,Unknown,Unknown,Live search result,Confirmed,Unknown,Unknown,ePacket ~$4-5,"LKE is a known quality brand. $17.17 after 29% off confirmed. CE must be requested"
Electric Tools - UV Lamp,UV/LED Nail Lamp,36W EU Plug 220V UV Lamp LED Nail Dryer,AliExpress,https://m.aliexpress.com/item/521096922.html,Unknown,Unknown,1,Unknown,Yes (220V EU),URL confirmed in search,URL confirmed - price not extracted,Unknown,Unknown,ePacket ~$4-5,"EU plug confirmed 220V. Price not extracted - visit URL for current price. Est $12-18"
Electric Tools - UV Lamp,UV/LED Nail Lamp,Generic 36W LED/UV Nail Lamp (Made-in-China),Made-in-China.com,https://m.made-in-china.com/hot-china-products/Uv_Nail_Lights.html,13.20,13.20,3,Unknown,Depends on supplier,Live search result,Confirmed price range,N/A (B2B),Unknown,DHL/ePacket,"Guangzhou Skyrann: $13.2-14.7 MOQ 3. Request CE documentation"
Electric Tools - UV Lamp,UV/LED Nail Lamp,UV LED Nail Lamp Factory (FOB China),Made-in-China.com,https://www.made-in-china.com/products-search/hot-china-products/Nail_UV_Lamp.html,5.78,5.78,1-20,Unknown,Configurable,Live search result,Confirmed price range,N/A (B2B),Unknown,FOB China,"FOB $5.78-8.85 for 1-20 units. Factory direct - needs CE verification"
Electric Tools - UV Lamp,UV/LED Nail Lamp,Guangzhou Ice Beauty 36W Nail Lamp,Made-in-China.com,https://www.made-in-china.com/products-search/hot-china-products/Nail_UV_Lamp.html,20.00,20.00,24,Unknown,Yes,Live search result,Confirmed price range,N/A (B2B),Unknown,MOQ 24 minimum,"$20-25/unit at MOQ 24. Good for future bulk order once validated"
Manual Tools,Cuticle Kit,MIZHSE 5pcs Manicure Kit (nipper + pusher + clipper),AliExpress,https://imall.com/product/MIZHSE-5pcs-Manicure-Tools-Kit-Nail-Cuticle-Nipper-Pusher-Remover-Cutter-Clipper-Block-Nutrition-Oil-Pen-For-Nails/Beauty-Health-Art-Sets-Kits/aliexpress.com/33010851519/144-31726075/en,4.15,4.15,1,N/A,N/A,Live price confirmed,CONFIRMED,Unknown,Unknown,Free shipping eligible,"CONFIRMED LIVE PRICE: $4.15. Includes 5pcs. NOTE: may include cuticle oil (liquid) - verify and remove from kit"
Manual Tools,Nail File Set,Nail Files Mixed Grit Set (AliExpress category),AliExpress,https://www.aliexpress.com/category/200002589/nail-files-buffers.html,2.00,2.00,1,N/A,N/A,Category range estimate,Estimated,1000+,4.3+,ePacket ~$2-3,"Standard nail file sets start at $1-3 for basic set. $3-6 for quality 3-pack with case"
Manual Tools,Buffer Block,4-Way Buffer Block (AliExpress category),AliExpress,https://www.aliexpress.com/category/200002589/nail-files-buffers.html,1.50,1.50,1,N/A,N/A,Category range estimate,Estimated,500+,4.3+,ePacket ~$2,"Single 4-way buffer blocks: $1-2.50. Prefer foam-core not sponge-core"
Manual Tools,Cuticle Pusher (standalone),Stainless Steel Double-Ended Cuticle Pusher,AliExpress,https://www.aliexpress.com/w/wholesale-cuticle-pusher-spoon.html,1.00,1.00,1,N/A,N/A,Category range estimate,Estimated,2000+,4.4+,ePacket ~$2,"Budget: $0.80-1.50. Quality stainless steel: $1.50-3.00. Buy quality version"
Manual Tools,Cuticle Nipper,1/4 Jaw Stainless Steel Cuticle Nipper,AliExpress,https://www.aliexpress.com/w/wholesale-cuticle-nail-nipper.html,2.50,2.50,1,N/A,N/A,Category range estimate,Estimated,3000+,4.4+,ePacket ~$2-3,"Budget: $1.50-3. Quality: $3-6. Spring quality is key - check 1-star reviews"
